Date,Population,Households,Housing Loan Sum
2000-01-31,22106240,6541419,3111875000000
2000-02-29,22119943,6549023,3104610000000
2000-03-31,22134777,6562307,3103923000000
2000-04-30,22146733,6575670,3124233000000
2000-05-31,22159658,6592549,3130814000000
2000-06-30,22172529,6610016,3144658000000
2000-07-31,22188176,6623568,3156071000000
2000-08-31,22203034,6636586,3151643000000
2000-09-30,22218949,6649289,3161739000000
2000-10-31,22237846,6660253,3185432000000
2000-11-30,22256788,6669940,3200176000000
2000-12-31,22276672,6681685,3210282000000
2001-01-31,22290225,6689656,3204470000000
2001-02-28,22298931,6701217,3198337000000
2001-03-31,22308497,6713987,3196917000000
2001-04-30,22318234,6724895,3186609000000
2001-05-31,22328771,6738529,3182098000000
2001-06-30,22339536,6750834,3173353000000
2001-07-31,22350363,6760432,3158218000000
2001-08-31,22361298,6772812,3145604000000
2001-09-30,22368502,6780828,3135197000000
2001-10-31,22381970,6785187,3134418000000
2001-11-30,22393488,6791207,3146377000000
2001-12-31,22405568,6802281,3131113000000
2002-01-31,22414047,6808670,3125138000000
2002-02-28,22421793,6813723,3121790000000
2002-03-31,22429972,6824876,3110636000000
2002-04-30,22440435,6834573,3113228000000
2002-05-31,22448817,6844760,3117721000000
2002-06-30,22457488,6859780,3134438000000
2002-07-31,22467176,6872565,3130483000000
2002-08-31,22475585,6885558,3131771000000
2002-09-30,22484364,6898156,3137390000000
2002-10-31,22496285,6905439,3147644000000
2002-11-30,22507693,6914651,3158261000000
2002-12-31,22520776,6925019,3186997000000
2003-01-31,22528673,6932254,3178516000000
2003-02-28,22533951,6939323,3171470000000
2003-03-31,22540155,6949664,3180693000000
2003-04-30,22545429,6959015,3194698000000
2003-05-31,22549292,6969663,3200839000000
2003-06-30,22554253,6982530,3232858000000
2003-07-31,22560996,6994039,3253606000000
2003-08-31,22567203,7005418,3276112000000
2003-09-30,22573965,7019327,3303089000000
2003-10-31,22584281,7026568,3327780000000
2003-11-30,22593641,7036211,3399480000000
2003-12-31,22604550,7047168,3459277000000
2004-01-31,22610665,7052616,3489841000000
2004-02-29,22615997,7060086,3509518000000
2004-03-31,22621478,7068793,3553515000000
2004-04-30,22626589,7081171,3619995000000
2004-05-31,22632661,7094835,3674658000000
2004-06-30,22640250,7109954,3715713000000
2004-07-31,22647160,7122122,3758493000000
2004-08-31,22653642,7135611,3793058000000
2004-09-30,22659341,7151352,3835124000000
2004-10-31,22668274,7158590,3882299000000
2004-11-30,22678940,7167786,3934140000000
2004-12-31,22689122,7179943,3991300000000
2005-01-31,22696349,7188946,4054121000000
2005-02-28,22701627,7194437,4071408000000
2005-03-31,22703295,7203725,4131167000000
2005-04-30,22708280,7212408,4170569000000
2005-05-31,22715030,7223032,4221290000000
2005-06-30,22722559,7234925,4285042000000
2005-07-31,22730819,7245047,4318187000000
2005-08-31,22738559,7260645,4362047000000
2005-09-30,22744839,7277800,4400928000000
2005-10-31,22752547,7282350,4463446000000
2005-11-30,22761464,7288094,4516378000000
2005-12-31,22770383,7292879,4585473000000
2006-01-31,22778581,7296251,4636338000000
2006-02-28,22784720,7300953,4639798000000
2006-03-31,22791052,7308957,4674415000000
2006-04-30,22797314,7315379,4713169000000
2006-05-31,22805647,7324288,4758845000000
2006-06-30,22814636,7337634,4812034000000
2006-07-31,22823604,7349106,4851023000000
2006-08-31,22832173,7363686,4887213000000
2006-09-30,22839043,7383799,4923606000000
2006-10-31,22850661,7388177,4955579000000
2006-11-30,22863122,7394652,5018710000000
2006-12-31,22876527,7394758,5085157000000
2007-01-31,22879510,7399872,5152306000000
2007-02-28,22879132,7400913,5182230000000
2007-03-31,22880454,7410830,5211123000000
2007-04-30,22886902,7420041,5245318000000
2007-05-31,22894283,7433196,5303793000000
2007-06-30,22901897,7445056,5339065000000
2007-07-31,22911292,7457026,5378814000000
2007-08-31,22920250,7472010,5420863000000
2007-09-30,22925311,7491916,5444549000000
2007-10-31,22934997,7497547,5446269000000
2007-11-30,22945782,7505074,5466766000000
2007-12-31,22958360,7512449,5510318000000
2008-01-31,22966459,7518561,5511615000000
2008-02-29,22973622,7524090,5504343000000
2008-03-31,22978800,7532951,5517291000000
2008-04-30,22983286,7545954,5537886000000
2008-05-31,22988428,7561422,5568913000000
2008-06-30,22994262,7576211,5612551000000
2008-07-31,23000827,7591500,5612466000000
2008-08-31,23005067,7608242,5613215000000
2008-09-30,23007737,7630590,5626952000000
2008-10-31,23016257,7637756,5624987000000
2008-11-30,23027672,7651722,5631881000000
2008-12-31,23037031,7655772,5632445000000
2009-01-31,23046177,7657870,5604530000000
2009-02-28,23049407,7670092,5590827000000
2009-03-31,23058550,7683813,5577541000000
2009-04-30,23059339,7695146,5584205000000
2009-05-31,23063027,7706202,5592992000000
2009-06-30,23069345,7720938,5610627000000
2009-07-31,23077191,7735374,5636569000000
2009-08-31,23082125,7753876,5674430000000
2009-09-30,23086441,7777527,5704244000000
2009-10-31,23098049,7785035,5724430000000
2009-11-30,23109141,7794786,5760099000000
2009-12-31,23119772,7805834,5823113000000
2010-01-31,23124514,7813696,5840979000000
2010-02-28,23127845,7819426,5858512000000
2010-03-31,23131093,7835375,5906430000000
2010-04-30,23133074,7848068,5948470000000
2010-05-31,23135715,7860131,5987015000000
2010-06-30,23138381,7875068,6035656000000
2010-07-31,23142460,7886689,6084465000000
2010-08-31,23145020,7900989,6116796000000
2010-09-30,23146090,7918304,6164939000000
2010-10-31,23150923,7923934,6197789000000
2010-11-30,23157178,7928663,6242637000000
2010-12-31,23162123,7937024,6347035000000
2011-01-31,23164628,7942075,6397695000000
2011-02-28,23164457,7947403,6404578000000
2011-03-31,23165878,7959795,6454693000000
2011-04-30,23170321,7970921,6478317000000
2011-05-31,23174528,7983216,6503657000000
2011-06-30,23180477,7995060,6521168000000
2011-07-31,23188078,8007543,6533086000000
2011-08-31,23193638,8022520,6555464000000
2011-09-30,23197947,8042061,6581239000000
2011-10-31,23205605,8047803,6586374000000
2011-11-30,23214620,8052869,6596869000000
2011-12-31,23224912,8057761,6641503000000
2012-01-31,23230506,8061054,6646064000000
2012-02-29,23234003,8069543,6644085000000
2012-03-31,23239268,8081433,6654785000000
2012-04-30,23245018,8091437,6672489000000
2012-05-31,23252392,8103991,6710703000000
2012-06-30,23261747,8114073,6775344000000
2012-07-31,23268372,8129272,6810417000000
2012-08-31,23276441,8148406,6827738000000
2012-09-30,23282670,8167676,6836289000000
2012-10-31,23293593,8172681,6844956000000
2012-11-30,23305021,8179429,6866541000000
2012-12-31,23315822,8186432,6888066000000
2013-01-31,23324092,8192452,6894884000000
2013-02-28,23328602,8196168,6880949000000
2013-03-31,23332705,8203875,6882917000000
2013-04-30,23335580,8210846,6898879000000
2013-05-31,23340136,8221727,6926372000000
2013-06-30,23344213,8230064,6957304000000
2013-07-31,23349724,8240217,6988378000000
2013-08-31,23354061,8253520,6997353000000
2013-09-30,23356588,8270689,7030409000000
2013-10-31,23361147,8274519,7061672000000
2013-11-30,23367320,8280866,7097139000000
2013-12-31,23373517,8286260,7141389000000
2014-01-31,23377515,8290235,7177380000000
2014-02-28,23379129,8293789,7185173000000
2014-03-31,23379594,8300560,7217630000000
2014-04-30,23382948,8308440,7244806000000
2014-05-31,23386883,8320686,7279213000000
2014-06-30,23392036,8329623,7318017000000
2014-07-31,23398263,8339092,7348431000000
2014-08-31,23404243,8354235,7380554000000
2014-09-30,23410280,8372925,7408923000000
2014-10-31,23417116,8374527,7427307000000
2014-11-30,23424615,8375477,7455362000000
2014-12-31,23433753,8382699,7491083000000
2015-01-31,23440278,8388883,7489856000000
2015-02-28,23445534,8393138,7493914000000
2015-03-31,23449287,8402104,7518551000000
2015-04-30,23452387,8410079,7531684000000
2015-05-31,23456545,8419246,7558737000000
2015-06-30,23461562,8427075,7586988000000
2015-07-31,23461708,8433668,7602081000000
2015-08-31,23465003,8444518,7618078000000
2015-09-30,23468748,8459688,7635092000000
2015-10-31,23476640,8461618,7649140000000
2015-11-30,23483793,8465553,7674060000000
2015-12-31,23492074,8468978,7740402000000
2016-01-31,23496068,8471543,7743532000000
2016-02-29,23496935,8473964,7734646000000
2016-03-31,23496813,8479633,7748186000000
2016-04-30,23499404,8484626,7760196000000
2016-05-31,23503349,8493007,7783353000000
2016-06-30,23508362,8499758,7813880000000
2016-07-31,23514750,8507475,7852668000000
2016-08-31,23516841,8520056,7873462000000
2016-09-30,23519518,8536883,7904917000000
2016-10-31,23526295,8540340,7939497000000
2016-11-30,23532065,8553994,7968162000000
2016-12-31,23539816,8561383,8013509000000
2017-01-31,23543346,8565588,8029261000000
2017-02-28,23544189,8571052,8031823000000
2017-03-31,23545680,8578609,8057475000000
2017-04-30,23547448,8584702,8081495000000
2017-05-31,23550077,8593794,8108784000000
2017-06-30,23552470,8601551,8151890000000
2017-07-31,23554803,8609154,8178983000000
2017-08-31,23556169,8622546,8212724000000
2017-09-30,23557467,8636922,8251835000000
2017-10-31,23562318,8638730,8277573000000
2017-11-30,23566853,8643820,8321493000000
2017-12-31,23571227,8649000,8386186000000
2018-01-31,23572049,8654346,8401635000000
2018-02-28,23571408,8656728,8404567000000
2018-03-31,23571990,8664510,8433220000000
2018-04-30,23571497,8670129,8468125000000
2018-05-31,23572415,8679670,8506542000000
2018-06-30,23574274,8686376,8557333000000
2018-07-31,23576705,8694750,8593239000000
2018-08-31,23577271,8708217,8619183000000
2018-09-30,23577488,8722997,8672616000000
2018-10-31,23580833,8723800,8719661000000
2018-11-30,23584865,8726848,8773482000000
2018-12-31,23588932,8734477,8835532000000
2019-01-31,23590744,8740977,8861382000000
2019-02-28,23590004,8746680,8868261000000
2019-03-31,23589192,8754384,8912179000000
2019-04-30,23589312,8762104,8963745000000
2019-05-31,23589870,8771842,9024592000000
2019-06-30,23591031,8778661,9096400000000
2019-07-31,23592598,8788954,9164502000000
2019-08-31,23593794,8802401,9205157000000
2019-09-30,23593783,8824319,9257100000000
2019-10-31,23596266,8826808,9343642000000
2019-11-30,23598776,8830422,9417851000000
2019-12-31,23603121,8832745,9506918000000
2020-01-31,23604265,8835281,9529481000000
2020-02-29,23600903,8841182,9583780000000
2020-03-31,23596493,8848368,9650096000000
2020-04-30,23591920,8854938,9710294000000
2020-05-31,23586562,8865759,9777152000000
2020-06-30,23583823,8874204,9860020000000
2020-07-31,23578705,8884763,9938927000000
2020-08-31,23574334,8903119,10031030000000
2020-09-30,23568378,8921682,10134695000000
2020-10-31,23566471,8923738,10242035000000
2020-11-30,23563356,8928167,10359531000000
2020-12-31,23561236,8933814,10566172000000
2021-01-31,23548633,8938484,10667241000000
2021-02-28,23539588,8942698,10710731000000
2021-03-31,23525623,8950538,10790767000000
2021-04-30,23514196,8957953,10871685000000
2021-05-31,23499070,8961217,10971085000000
2021-06-30,23487509,8965343,11089984000000
2021-07-31,23470633,8973218,11171110000000
2021-08-31,23451837,8988241,11231017000000
2021-09-30,23430948,9004362,11313293000000
2021-10-31,23413879,9004383,11407011000000
2021-11-30,23394787,9006260,11520613000000
2021-12-31,23375314,9006580,11679445000000
2022-01-31,23349666,9005752,11770175000000
2022-02-28,23319776,9005454,11820165000000
2022-03-31,23268991,9004145,11915322000000
2022-04-30,23215015,9002584,11989100000000
2022-05-31,23196178,9008300,12083633000000
2022-06-30,23186278,9014700,12165850000000
2022-07-31,23190064,9026456,12239495000000
2022-08-31,23194554,9042909,12280036000000
2022-09-30,23198133,9062527,12337937000000
2022-10-31,23212056,9068488,12395768000000
2022-11-30,23233593,9077086,12473595000000
2022-12-31,23264640,9089450,12543159000000
2023-01-31,23301968,9099394,12556499000000
2023-02-28,23313550,9113845,12596300000000
2023-03-31,23332929,9128914,12634348000000
2023-04-30,23347374,9139050,12690624000000
2023-05-31,23361084,9153985,12760335000000
2023-06-30,23373283,9167221,12839376000000
2023-07-31,23392423,9180345,12899260000000
2023-08-31,23399654,9199122,12977082000000
2023-09-30,23404300,9220646,13064930000000
2023-10-31,23411858,9226306,13143485000000
2023-11-30,23415008,9233926,13235777000000
2023-12-31,23420442,9240823,13333052000000
2024-01-31,23419833,9248590,13424162000000
2024-02-29,23418053,9257494,13463567000000
2024-03-31,23416375,9268989,13552006000000
2024-04-30,23415100,9279140,13655878000000
2024-05-31,23413608,9295780,13779336000000
2024-06-30,23412899,9309862,13913115000000
2024-07-31,23409323,9323985,14001872000000
2024-08-31,23406608,9343388,14160805000000
2024-09-30,23404138,9379019,14303850000000
2024-10-31,23402804,9425080,14388873000000
